tau,C_mean,C_var
0.000000000000000000e+00,3.515625000000000000e-02,0.000000000000000000e+00
4.476567438455604162e-03,3.520882736993786316e-02,0.000000000000000000e+00
8.953134876911208323e-03,3.526164063362118017e-02,0.000000000000000000e+00
1.342970231536681248e-02,3.531469084941136344e-02,0.000000000000000000e+00
1.790626975382241665e-02,3.536797908041826310e-02,0.000000000000000000e+00
2.238283719227802254e-02,3.542150639452147642e-02,0.000000000000000000e+00
2.685940463073362497e-02,3.547527386439176811e-02,0.000000000000000000e+00
3.133597206918922740e-02,3.552928256751253233e-02,0.000000000000000000e+00
3.581253950764483329e-02,3.558353358620141432e-02,0.000000000000000000e+00
4.028910694610043919e-02,3.563802800763197359e-02,0.000000000000000000e+00
4.476567438455604508e-02,3.569276692385550676e-02,0.000000000000000000e+00
4.924224182301164404e-02,3.574775143182289117e-02,0.000000000000000000e+00
5.371880926146724994e-02,3.580298263340659509e-02,0.000000000000000000e+00
5.819537669992285583e-02,3.585846163542275034e-02,0.000000000000000000e+00
6.267194413837845479e-02,3.591418954965333588e-02,0.000000000000000000e+00
6.714851157683406069e-02,3.597016749286843784e-02,0.000000000000000000e+00
7.162507901528966658e-02,3.602639658684866214e-02,0.000000000000000000e+00
7.610164645374527248e-02,3.608287795840758871e-02,0.000000000000000000e+00
8.057821389220087838e-02,3.613281250000000000e-02,0.000000000000000000e+00
8.505478133065648427e-02,3.613281250000000000e-02,0.000000000000000000e+00
8.953134876911209017e-02,3.613281250000000000e-02,0.000000000000000000e+00
9.400791620756768219e-02,3.613281250000000000e-02,0.000000000000000000e+00
9.848448364602328808e-02,3.613281250000000000e-02,0.000000000000000000e+00
1.029610510844788940e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.074376185229344999e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.119141859613901058e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.163907533998457117e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.208673208383013176e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.253438882767569096e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.298204557152125294e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.342970231536681214e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.387735905921237411e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.432501580305793332e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.477267254690349252e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.522032929074905450e-01,3.613281250000000000e-02,0.000000000000000000e+00
1.566798603459461370e-01,3.616743490460364030e-02,0.000000000000000000e+00
1.611564277844017568e-01,3.622893050648900992e-02,0.000000000000000000e+00
1.656329952228573488e-01,3.629070201467922419e-02,0.000000000000000000e+00
1.701095626613129685e-01,3.635275066705612179e-02,0.000000000000000000e+00
1.745861300997685606e-01,3.641507770705543906e-02,0.000000000000000000e+00
1.790626975382241803e-01,3.647768438369169974e-02,0.000000000000000000e+00
1.835392649766797724e-01,3.654057195158325055e-02,0.000000000000000000e+00
1.880158324151353644e-01,3.660374167097745629e-02,0.000000000000000000e+00
1.924923998535909841e-01,3.666719480777585333e-02,0.000000000000000000e+00
1.969689672920465762e-01,3.673093263355960841e-02,0.000000000000000000e+00
2.014455347305021959e-01,3.679495642561495666e-02,0.000000000000000000e+00
2.059221021689577880e-01,3.685926746695881995e-02,0.000000000000000000e+00
2.103986696074134077e-01,3.692386704636449468e-02,0.000000000000000000e+00
2.148752370458689998e-01,3.698875645838747839e-02,0.000000000000000000e+00
2.193518044843245918e-01,3.705393700339146279e-02,0.000000000000000000e+00
2.238283719227802115e-01,3.711940998757431998e-02,0.000000000000000000e+00
2.283049393612358036e-01,3.718517672299432447e-02,0.000000000000000000e+00
2.327815067996914233e-01,3.725123852759643084e-02,0.000000000000000000e+00
2.372580742381470154e-01,3.731759672523869698e-02,0.000000000000000000e+00
2.417346416766026351e-01,3.738425264571879070e-02,0.000000000000000000e+00
2.462112091150582271e-01,3.745120762480066978e-02,0.000000000000000000e+00
2.506877765535138192e-01,3.751846300424131753e-02,0.000000000000000000e+00
2.551643439919694112e-01,3.758602013181766566e-02,0.000000000000000000e+00
2.596409114304250587e-01,3.765388036135356581e-02,0.000000000000000000e+00
2.641174788688806507e-01,3.772204505274694142e-02,0.000000000000000000e+00
2.685940463073362428e-01,3.779051557199705758e-02,0.000000000000000000e+00
2.730706137457918348e-01,3.785929329123184639e-02,0.000000000000000000e+00
2.775471811842474823e-01,3.792837958873546134e-02,0.000000000000000000e+00
2.820237486227030743e-01,3.799777584897583160e-02,0.000000000000000000e+00
2.865003160611586663e-01,3.806748346263248706e-02,0.000000000000000000e+00
2.909768834996142584e-01,3.812031505108289670e-02,0.000000000000000000e+00
2.954534509380698504e-01,3.816720472942516929e-02,0.000000000000000000e+00
2.999300183765254979e-01,3.821430478310308687e-02,0.000000000000000000e+00
3.044065858149810899e-01,3.826161615598708265e-02,0.000000000000000000e+00
3.088831532534366819e-01,3.830913979618238985e-02,0.000000000000000000e+00
3.133597206918922740e-01,3.835687665604799873e-02,0.000000000000000000e+00
3.178362881303479215e-01,3.840482769221575943e-02,0.000000000000000000e+00
3.223128555688035135e-01,3.845299386560954019e-02,0.000000000000000000e+00
3.267894230072591055e-01,3.850137614146451059e-02,0.000000000000000000e+00
3.312659904457146975e-01,3.854997548934645246e-02,0.000000000000000000e+00
3.357425578841702896e-01,3.859879288317120266e-02,0.000000000000000000e+00
3.402191253226259371e-01,3.864782930122417914e-02,0.000000000000000000e+00
3.446956927610815291e-01,3.869708572617997638e-02,0.000000000000000000e+00
3.491722601995371211e-01,3.875135513434975476e-02,0.000000000000000000e+00
3.536488276379927131e-01,3.882590424101045601e-02,0.000000000000000000e+00
3.581253950764483607e-01,3.890078781985970013e-02,0.000000000000000000e+00
3.626019625149039527e-01,3.897600737154114509e-02,0.000000000000000000e+00
3.670785299533595447e-01,3.905156440343126450e-02,0.000000000000000000e+00
3.715550973918151367e-01,3.912746042966950416e-02,0.000000000000000000e+00
3.760316648302707287e-01,3.920369697118867430e-02,0.000000000000000000e+00
3.805082322687263763e-01,3.928027555574538365e-02,0.000000000000000000e+00
3.849847997071819683e-01,3.935719771795069544e-02,0.000000000000000000e+00
3.894613671456375603e-01,3.943446499930085974e-02,0.000000000000000000e+00
3.939379345840931523e-01,3.951207894820819855e-02,0.000000000000000000e+00
3.984145020225487444e-01,3.959004112003214337e-02,0.000000000000000000e+00
4.028910694610043919e-01,3.966835307711042563e-02,0.000000000000000000e+00
4.073676368994599839e-01,3.971354166666666435e-02,0.000000000000000000e+00
