tau,E_mean,E_var
0.000000000000000000e+00,-3.720000000000000000e+02,3.008000000000000114e+02
2.217454183880420218e-02,-3.722690666922293303e+02,2.842194073519108315e+02
4.434908367760840436e-02,-3.725441664581975942e+02,2.691832017713849154e+02
6.652362551641261001e-02,-3.728254345728377643e+02,2.558129043896825863e+02
8.869816735521680873e-02,-3.731130093442474731e+02,2.442367014458541803e+02
1.108727091940210074e-01,-3.734070321816999467e+02,2.345897724163992280e+02
1.330472510328252200e-01,-3.737076476651785129e+02,2.270146336051056153e+02
1.552217928716294049e-01,-3.740150036164713470e+02,2.216614979071554501e+02
1.773963347104336175e-01,-3.743292511718603350e+02,2.186886514942646045e+02
1.995708765492378300e-01,-3.746505448564382164e+02,2.182628482017729823e+02
2.217454183880420149e-01,-3.749790426600948763e+02,2.205597224343406992e+02
2.439199602268462275e-01,-3.753149061152043373e+02,2.257642214442297757e+02
2.660945020656504401e-01,-3.756583003760561610e+02,2.340710578752048150e+02
2.882690439044546249e-01,-3.760093943000659920e+02,2.456851835059157452e+02
3.104435857432588097e-01,-3.763683605308089000e+02,2.608222851692847826e+02
3.326181275820630501e-01,-3.767353755829123543e+02,2.797093038690758249e+02
3.547926694208672349e-01,-3.771106199288548737e+02,3.025849781614465996e+02
3.769672112596714197e-01,-3.774942780877090627e+02,3.297004129180897962e+02
3.991417530984756601e-01,-3.778865387158757585e+02,3.613196746385392544e+02
4.213162949372798449e-01,-3.782875946998518657e+02,3.977204145325840159e+02
4.434908367760840298e-01,-3.786976432510785457e+02,4.391945206494091281e+02
4.656653786148882701e-01,-3.791168860029162033e+02,4.860488003884417481e+02
4.878399204536924549e-01,-3.795455291097936765e+02,5.386056947877467564e+02
5.100144622924966953e-01,-3.799837833485806868e+02,5.972040260495739403e+02
5.321890041313008801e-01,-3.804318642222332301e+02,6.621997798292283051e+02
5.543635459701050650e-01,-3.808899920657628968e+02,7.339669238830830409e+02
5.765380878089092498e-01,-3.813583921545822477e+02,8.128982647443630185e+02
5.987126296477134346e-01,-3.818372948152797903e+02,8.994063441714139344e+02
6.208871714865176195e-01,-3.823269355388785016e+02,9.939243771927789339e+02
6.430617133253219153e-01,-3.828275550966337732e+02,1.096907233656561857e+03
6.652362551641261001e-01,-3.833393996584283059e+02,1.208832465278558175e+03
6.874107970029302850e-01,-3.838627209138210787e+02,1.330201380274554140e+03
7.095853388417344698e-01,-3.838674079347298402e+02,1.277822960989233707e+03
7.317598806805386547e-01,-3.836850571308754070e+02,1.165643515640375199e+03
7.539344225193428395e-01,-3.834986176163861273e+02,1.057219404016682802e+03
7.761089643581470243e-01,-3.833079977132748581e+02,9.529191853410487738e+02
7.982835061969513202e-01,-3.831131036879299359e+02,8.531325775167764505e+02
8.204580480357555050e-01,-3.829138397050237472e+02,7.582715162937043942e+02
8.426325898745596898e-01,-3.827101077803875455e+02,6.687712646995864816e+02
8.648071317133638747e-01,-3.825018077328293202e+02,5.850915750662327355e+02
8.869816735521680595e-01,-3.822888371348722103e+02,5.077179060866585019e+02
9.091562153909722444e-01,-3.820710912623870854e+02,4.371626974511422077e+02
9.313307572297765402e-01,-3.818484630430974676e+02,3.739667047267955127e+02
9.535052990685807250e-01,-3.816208430039276323e+02,3.187003972672838472e+02
9.756798409073849099e-01,-3.813881192171724024e+02,2.719654220669148117e+02
9.978543827461890947e-01,-3.811501772454583943e+02,2.343961366067591712e+02
1.020028924584993391e+00,-3.809069000854718752e+02,2.066612138799040963e+02
1.042203466423797575e+00,-3.806581681104241852e+02,1.894653229288178125e+02
1.064378008262601760e+00,-3.804038590112284055e+02,1.835508883802645528e+02
1.086552550101405945e+00,-3.801438477363556103e+02,1.896999326226496123e+02
1.108727091940210130e+00,-3.789508553009533784e+02,1.863519502093270717e+02
1.130901633779014315e+00,-3.766133575899608559e+02,1.627027655075346502e+02
1.153076175617818500e+00,-3.742234479808690821e+02,1.430816503278472851e+02
1.175250717456622684e+00,-3.717799512823402210e+02,1.277856307835827039e+02
1.197425259295426869e+00,-3.692816659526324656e+02,1.171277665967394057e+02
1.219599801134231054e+00,-3.667273635087655066e+02,1.114379356747456029e+02
1.241774342973035239e+00,-3.641157879224382441e+02,1.110636555547968527e+02
1.263948884811839424e+00,-3.614456550024009971e+02,1.163709434165202055e+02
1.286123426650643831e+00,-3.587156517629797463e+02,1.277452164414945628e+02
1.308297968489448015e+00,-3.559244357784413069e+02,1.455922343794569827e+02
1.330472510328252200e+00,-3.530706345228815053e+02,1.703390862660493781e+02
1.352647052167056385e+00,-3.501528446953121829e+02,2.024352233258411786e+02
1.374821594005860570e+00,-3.471696315296157991e+02,2.423535401872979094e+02
1.396996135844664755e+00,-3.470460423316479819e+02,2.515575627742240954e+02
1.419170677683468940e+00,-3.500920127702000286e+02,2.377411333399872149e+02
1.441345219522273124e+00,-3.532062806412961322e+02,2.476065747746300190e+02
1.463519761361077309e+00,-3.563903773252915812e+02,2.827728422903562659e+02
1.485694303199881494e+00,-3.596458685394955523e+02,3.449445273941741448e+02
1.507868845038685679e+00,-3.629743551080816815e+02,4.359160152810160298e+02
1.530043386877489864e+00,-3.663774737492627764e+02,5.575758368972987000e+02
1.552217928716294049e+00,-3.698568978801145022e+02,7.119112246404448570e+02
1.574392470555098456e+00,-3.734143384394454870e+02,9.010128810695708808e+02
1.596567012393902640e+00,-3.770515447291182340e+02,1.127079970430784897e+03
1.618741554232706825e+00,-3.774053654008752687e+02,1.252988815591366574e+03
1.640916096071511010e+00,-3.730600586255934559e+02,1.214555789730171227e+03
1.663090637910315195e+00,-3.686173204069162352e+02,1.201120208122251370e+03
1.685265179749119380e+00,-3.640749661151604641e+02,1.214415211428090970e+03
1.707439721587923565e+00,-3.594307621363867611e+02,1.256265977230080125e+03
