tau,S_mean,S_var,Mz_mean,Mz_var
0.000000000000000000e+00,1.213462344007861484e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.314155872355825108e-02,2.320452545938988972e-08,1.378308514312464945e-22,-2.238589285610694791e-08,1.550454741461411877e-15
4.628311744711650216e-02,4.695228897626374656e-08,5.643062038945340813e-22,-4.529587085135775422e-08,6.347862037991467244e-15
6.942467617067475671e-02,7.125602093393624399e-08,1.299704122021663300e-21,-6.874220355368238534e-08,1.462032917565516793e-14
9.256623489423300433e-02,9.612873733313290872e-08,2.365417886223435623e-21,-9.273744777879929373e-08,2.660850846635579239e-14
1.157077936177912519e-01,1.215837588974063748e-07,3.784012441467031825e-21,-1.172944543150892523e-07,4.256623223827208404e-14
1.388493523413495134e-01,1.476347182071238492e-07,5.579283604826605190e-21,-1.424263748059064150e-07,6.276117885970435522e-14
1.619909110649077610e-01,1.742955670004738938e-07,7.776320164491772437e-21,-1.681466687930163230e-07,8.747557128873145228e-14
1.851324697884660087e-01,2.015805836453976869e-07,1.040156900922298389e-20,-1.944691109249288445e-07,1.170069097122945132e-13
2.082740285120242563e-01,2.295043807864498590e-07,1.348290343386569817e-20,-2.214077983339892484e-07,1.516687399129327516e-13
2.314155872355825039e-01,2.580819131706823764e-07,1.704969477358340165e-20,-2.489771581861763172e-07,1.917914590795432354e-13
2.545571459591407515e-01,2.873284856567438486e-07,2.113288752655521759e-20,-2.771919554076529300e-07,2.377231608604090065e-13
2.776987046826990269e-01,3.172597614114826798e-07,2.576507813270163423e-20,-3.060673005922052424e-07,2.898305215424898892e-13
3.008402634062572467e-01,3.478917702984447422e-07,3.098059758387278715e-20,-3.356186580938067145e-07,3.484997293308122123e-13
3.239818221298155221e-01,3.792409174627573306e-07,3.681559804938797179e-20,-3.658618543086402479e-07,4.141374587958873270e-13
3.471233808533737419e-01,4.113239921169966726e-07,4.330814370938377850e-20,-3.968130861510133107e-07,4.871718926556683384e-13
3.702649395769320173e-01,4.441581765327459009e-07,5.049830599791829247e-20,-4.284889297277075251e-07,5.680537931618158748e-13
3.934064983004902927e-01,4.777610552426565959e-07,5.842826346712563828e-20,-4.609063492154050380e-07,6.572576254681957485e-13
4.165480570240485125e-01,1.399086638077695470e-06,4.393581298650595631e-18,-7.472572170880984662e-07,1.725709019165007745e-12
4.396896157476067879e-01,3.072068033154273252e-06,3.031585925149115288e-17,-1.248713960367969146e-06,4.815193736069004945e-12
4.628311744711650078e-01,4.784216268385946337e-06,8.092282366083916963e-17,-1.761910509103260012e-06,9.583148478926862186e-12
4.859727331947232831e-01,6.536448294416756159e-06,1.579329651080505426e-16,-2.287121708600119942e-06,1.614495291908103224e-11
5.091142919182815030e-01,8.329702528991028457e-06,2.631590371007088787e-16,-2.824628838678688354e-06,2.462229211100736318e-11
5.322558506418397783e-01,1.016493935952823010e-05,3.985128223804947965e-16,-3.374719764314075341e-06,3.514347484357202012e-11
5.553974093653980537e-01,1.204314165746387057e-05,5.660101320616105466e-16,-3.937689089804073264e-06,4.784376753213210230e-11
5.785389680889563291e-01,1.396531530463186495e-05,7.677760487948400820e-16,-4.513838316546150285e-06,6.286574439843905605e-11
6.016805268125144934e-01,1.593248973197022674e-05,1.006050425685025877e-15,-5.103476004508237681e-06,8.035965472094019866e-11
6.248220855360727688e-01,1.794571847083857051e-05,1.283193653250388144e-15,-5.706917937479732038e-06,1.004838079754033444e-10
6.479636442596310442e-01,2.000607971724280431e-05,1.601692707297823140e-15,-6.324487292191311953e-06,1.234049777248972537e-10
6.711052029831893195e-01,2.211467690926911104e-05,1.964167491203078931e-15,-6.956514811394053976e-06,1.492988251591198273e-10
6.942467617067474839e-01,2.675917322639239694e-05,3.762890659404582554e-15,-7.930787863479568948e-06,1.939766687769358795e-10
7.173883204303057592e-01,4.509866789209840562e-05,2.182919999470370365e-14,-1.071703001966879074e-05,3.536609045873747507e-10
7.405298791538640346e-01,6.386751584183390546e-05,5.577844764189749942e-14,-1.356850201133970042e-05,5.663648382789292937e-10
7.636714378774223100e-01,8.307576883797693939e-05,1.067148286236477169e-13,-1.648673096040007878e-05,8.356642331424685678e-10
7.868129966009805853e-01,1.027337139687561126e-04,1.758030809434410839e-13,-1.947327974082270464e-05,1.165329153359315800e-09
8.099545553245387497e-01,1.228518791575585140e-04,2.642715463836347012e-13,-2.252974781565129884e-05,1.559333751475239800e-09
8.330961140480970251e-01,1.434410388012200336e-04,3.734153808104309998e-13,-2.565777209360221300e-05,2.021866533170999999e-09
8.562376727716553004e-01,1.645122195403127816e-04,5.045999211739207554e-13,-2.885902780571986039e-05,2.557341122259000274e-09
8.793792314952135758e-01,1.860767061645251554e-04,6.592642167339472583e-13,-3.213522940255628715e-05,3.170407549929471334e-09
9.025207902187717401e-01,2.081460476562943930e-04,8.389247324021385249e-13,-3.548813147235474816e-05,3.865964093415133423e-09
9.256623489423300155e-01,2.674853647206065581e-04,1.915440171809962483e-12,-4.183287064064078123e-05,5.364952072622520386e-09
9.488039076658882909e-01,3.604711113856535337e-04,4.754278503403801526e-12,-5.088309649065961981e-05,7.923837200808993956e-09
9.719454663894465662e-01,4.556337847559504823e-04,8.973098359229856628e-12,-6.014520081719830019e-05,1.105764586928646467e-08
9.950870251130048416e-01,5.530243497379509982e-04,1.466642967957464236e-11,-6.962414399246838980e-05,1.480423463601348850e-08
1.018228583836563006e+00,6.526949643980211810e-04,2.193396302539907395e-11,-7.932500251794936724e-05,1.920350203198291970e-08
1.041370142560121392e+00,7.546990078959964167e-04,3.088081002342920903e-11,-8.925297174313853016e-05,2.429749111312294430e-08
1.064511701283679557e+00,8.590911090726856486e-04,4.161777652291439577e-11,-9.941336864794924906e-05,3.013049700646985147e-08
