t,S_mean,S_var,Mz_mean,Mz_var
1.000000000000000056e-01,2.466068634596620418e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.597989949748743754e-01,1.392464382893883799e-06,3.491440577808823949e-19,-7.893455041880275569e-07,5.692916418978251456e-12
2.195979899497487731e-01,6.552931414572873330e-05,1.211368522763284210e-14,-1.237201782487244198e-05,1.392829264414092432e-09
2.793969849246231707e-01,5.769833397981717930e-04,4.539309163259331095e-12,-6.051252860134810374e-05,3.309009189699201563e-08
3.391959798994975128e-01,2.532264148091209217e-03,2.607573026121491118e-10,-1.822145913530359707e-04,2.970631443462517800e-07
3.989949748743718549e-01,7.530773308197151981e-03,5.267519560666338784e-09,-4.178963596748556659e-04,1.541980078081571350e-06
4.587939698492462526e-01,1.741437810741242043e-02,5.420285079078887846e-08,-8.024395023506954985e-04,5.590717032444154065e-06
5.185929648241206502e-01,3.372979978166023435e-02,3.468888315258809339e-07,-1.356763971574165284e-03,1.565324183328680189e-05
5.783919597989950478e-01,5.726044914054487928e-02,1.559098793762772645e-06,-2.081526778167132937e-03,3.591873310265807144e-05
6.381909547738693345e-01,8.780297525948514703e-02,5.331221289683998931e-06,-2.954230187245979970e-03,7.016355258981044291e-05
6.979899497487437321e-01,1.242306471019773983e-01,1.466884158433992039e-05,-3.930394514827716297e-03,1.197004491972231827e-04
7.577889447236181297e-01,1.647743671637298124e-01,3.383672246844445061e-05,-4.948696154829456371e-03,1.815928038003879360e-04
8.175879396984925274e-01,2.074047410396319402e-01,6.749738293844430856e-05,-5.939171885909452601e-03,2.482266492455784059e-04
8.773869346733669250e-01,2.502060863704320681e-01,1.192898136528721856e-04,-6.833010034905898089e-03,3.088409607161774601e-04
9.371859296482412116e-01,2.916697326583141958e-01,1.904198439234734697e-04,-7.572117400572171524e-03,3.526588430309778141e-04
9.969849246231156092e-01,3.308733814964709419e-01,2.789133942881169581e-04,-8.116806208080170129e-03,3.723762475695145853e-04
1.056783919597990007e+00,3.675420045875927855e-01,3.798741957925511059e-04,-8.450262067028339527e-03,3.664864930683301033e-04
1.116582914572864516e+00,4.019997782203970083e-01,4.866726598516664219e-04,-8.579186570107658061e-03,3.394470590477745818e-04
1.176381909547738802e+00,4.350300358426046898e-01,5.926764887106803111e-04,-8.530619924931136591e-03,2.997339017494885546e-04
1.236180904522613311e+00,4.676674948351726147e-01,6.928917844641768351e-04,-8.345773701935101097e-03,2.567951546993060830e-04
1.295979899497487597e+00,5.009585823184226072e-01,7.849532949109760830e-04,-8.072040232105379132e-03,2.182928610112286805e-04
1.355778894472362106e+00,5.357352322159056879e-01,8.690757381548656511e-04,-7.754506243551079897e-03,1.886757037357340123e-04
1.415577889447236393e+00,5.724488889186195584e-01,9.469988595404609443e-04,-7.428545379638908791e-03,1.693345544014878410e-04
1.475376884422110679e+00,6.110978886761485596e-01,1.020350486038399578e-03,-7.114425821081893191e-03,1.598164327655615484e-04
1.535175879396985188e+00,6.512570608988818011e-01,1.089025488894382852e-03,-6.814678997575224044e-03,1.592187310553156820e-04
1.594974874371859475e+00,6.921934713371090675e-01,1.150119681738592456e-03,-6.514516321094689609e-03,1.670412838099666461e-04
1.654773869346733983e+00,7.330338897620928273e-01,1.197785483927498373e-03,-6.184963984406329808e-03,1.832481117667021263e-04
1.714572864321608270e+00,7.729442002465788386e-01,1.224056211781319103e-03,-5.788104347264723566e-03,2.077690838041837895e-04
1.774371859296482556e+00,8.112849019028742781e-01,1.220640172625620879e-03,-5.283545406032419227e-03,2.399079087458749965e-04
1.834170854271357065e+00,8.477167061388218849e-01,1.181290548094315147e-03,-4.635254940974493747e-03,2.780499414424862452e-04
1.893969849246231352e+00,8.822423169632926943e-01,1.104293888923769994e-03,-3.817764713516202252e-03,3.198030839089616617e-04
1.953768844221105860e+00,9.151812109774191129e-01,9.943551824591748741e-04,-2.821125978668214459e-03,3.624446413244795939e-04
2.013567839195979925e+00,9.470869064019750150e-01,8.631034688575544992e-04,-1.654011476512537047e-03,4.034137109262556174e-04
2.073366834170854212e+00,9.786231153098685631e-01,7.276906910398725893e-04,-3.446713771235743466e-04,4.406234596290084233e-04
2.133165829145728942e+00,1.010426839067881444e+00,6.076313258614316664e-04,1.060331086312415625e-03,4.724980998681137939e-04
2.192964824120603229e+00,1.042985148103586335e+00,5.208982592000813193e-04,2.499465758433678467e-03,4.977840521207609710e-04
2.252763819095477515e+00,1.076551992621924247e+00,4.808981507488184330e-04,3.901332153866017560e-03,5.152736006691195983e-04
2.312562814070352246e+00,1.111119327857018835e+00,4.955540385034241284e-04,5.190906617957333213e-03,5.236059494569705224e-04
2.372361809045226533e+00,1.146445621351352306e+00,5.686092472141706603e-04,6.296252448365818009e-03,5.212764907530971102e-04
2.432160804020100819e+00,1.182130435775371469e+00,7.019634344210856939e-04,7.154815095814392144e-03,5.069009853268252467e-04
2.491959798994975106e+00,1.217717283481998480e+00,8.973660291749485087e-04,7.718646725666178203e-03,4.796863441809544088e-04
2.551758793969849393e+00,1.252801137138034315e+00,1.156282492764464662e-03,7.957912242301220032e-03,4.399584022608648138e-04
