t,S_mean,S_var,Mz_mean,Mz_var
1.000000000000000056e-01,9.981706378129161716e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.296482412060301626e-01,2.589001059198814924e-08,0.000000000000000000e+00,-4.825281562509387001e-08,0.000000000000000000e+00
1.592964824120603196e-01,1.326184460568253083e-06,0.000000000000000000e+00,-7.669712143235085655e-07,0.000000000000000000e+00
1.889447236180904488e-01,1.282311258985011437e-05,0.000000000000000000e+00,-3.840006064112500006e-06,0.000000000000000000e+00
2.185929648241206058e-01,6.255591794988632341e-05,0.000000000000000000e+00,-1.194772043043579313e-05,0.000000000000000000e+00
2.482412060301507628e-01,2.094430285940206181e-04,0.000000000000000000e+00,-2.858510770435696013e-05,0.000000000000000000e+00
2.778894472361809198e-01,5.518292388937691244e-04,0.000000000000000000e+00,-5.782114136969329632e-05,0.000000000000000000e+00
3.075376884422110768e-01,1.230698952954120034e-03,0.000000000000000000e+00,-1.040125664549459983e-04,0.000000000000000000e+00
3.371859296482412338e-01,2.426691551369168122e-03,0.000000000000000000e+00,-1.714880131812798747e-04,0.000000000000000000e+00
3.668341708542713908e-01,4.351176676372328807e-03,0.000000000000000000e+00,-2.642200200941163812e-04,0.000000000000000000e+00
3.964824120603015478e-01,7.232559521447962450e-03,0.000000000000000000e+00,-3.855034932826462146e-04,0.000000000000000000e+00
4.261306532663317048e-01,1.129962435336000909e-02,0.000000000000000000e+00,-5.376590316717860807e-04,0.000000000000000000e+00
4.557788944723618618e-01,1.676398658466343380e-02,0.000000000000000000e+00,-7.217781438068684996e-04,0.000000000000000000e+00
4.854271356783920188e-01,2.380365615209454125e-02,0.000000000000000000e+00,-9.375257034719350346e-04,0.000000000000000000e+00
5.150753768844221758e-01,3.254940692635520383e-02,0.000000000000000000e+00,-1.183011619878091003e-03,0.000000000000000000e+00
5.447236180904523328e-01,4.307513706540770648e-02,0.000000000000000000e+00,-1.454739437934934876e-03,0.000000000000000000e+00
5.743718592964824898e-01,5.539274944325624922e-02,0.000000000000000000e+00,-1.747636163916557739e-03,0.000000000000000000e+00
6.040201005025125358e-01,6.945166856262793842e-02,0.000000000000000000e+00,-2.055162827090117883e-03,0.000000000000000000e+00
6.336683417085426928e-01,8.514259937244265941e-02,0.000000000000000000e+00,-2.369499608110912925e-03,0.000000000000000000e+00
6.633165829145728498e-01,1.023047303304847611e-01,0.000000000000000000e+00,-2.681795857084012108e-03,0.000000000000000000e+00
6.929648241206030068e-01,1.207354686314988795e-01,0.000000000000000000e+00,-2.982473649673769017e-03,0.000000000000000000e+00
7.226130653266331638e-01,1.402018426982136745e-01,0.000000000000000000e+00,-3.261567348023179658e-03,0.000000000000000000e+00
7.522613065326633208e-01,1.604526384518873139e-01,0.000000000000000000e+00,-3.509079567346938544e-03,0.000000000000000000e+00
7.819095477386934778e-01,1.812302807064374854e-01,0.000000000000000000e+00,-3.715339869193593630e-03,0.000000000000000000e+00
8.115577889447236348e-01,2.022820125608190689e-01,0.000000000000000000e+00,-3.871346732451539860e-03,0.000000000000000000e+00
8.412060301507537918e-01,2.233698561596945131e-01,0.000000000000000000e+00,-3.969074997172139518e-03,0.000000000000000000e+00
8.708542713567839488e-01,2.442789893423007175e-01,0.000000000000000000e+00,-4.001733682926528202e-03,0.000000000000000000e+00
9.005025125628141058e-01,2.648242147467618213e-01,0.000000000000000000e+00,-3.963975308258402101e-03,0.000000000000000000e+00
9.301507537688442628e-01,2.848547311114718039e-01,0.000000000000000000e+00,-3.852039454781092803e-03,0.000000000000000000e+00
9.597989949748744198e-01,3.042571046457216433e-01,0.000000000000000000e+00,-3.663828779442452038e-03,0.000000000000000000e+00
9.894472361809045768e-01,3.229564312277344307e-01,0.000000000000000000e+00,-3.398924076307466638e-03,0.000000000000000000e+00
1.019095477386934734e+00,3.409158866402509092e-01,0.000000000000000000e+00,-3.058549061960559763e-03,0.000000000000000000e+00
1.048743718592964891e+00,3.581349141049121054e-01,0.000000000000000000e+00,-2.645479162879291711e-03,0.000000000000000000e+00
1.078391959798995048e+00,3.746461202687203507e-01,0.000000000000000000e+00,-2.163904582858678337e-03,0.000000000000000000e+00
1.108040201005025205e+00,3.905109625372890081e-01,0.000000000000000000e+00,-1.619276276472913362e-03,0.000000000000000000e+00
1.137688442211055362e+00,4.058146222970249184e-01,0.000000000000000000e+00,-1.018130872938938919e-03,0.000000000000000000e+00
1.167336683417085519e+00,4.206602128033699595e-01,0.000000000000000000e+00,-3.679027254641330236e-04,0.000000000000000000e+00
1.196984924623115676e+00,4.351625234277147758e-01,0.000000000000000000e+00,3.232679189383511065e-04,0.000000000000000000e+00
1.226633165829145833e+00,4.494415539887790523e-01,0.000000000000000000e+00,1.046701174552272517e-03,0.000000000000000000e+00
1.256281407035175990e+00,4.636162613039757074e-01,0.000000000000000000e+00,1.793342039346390582e-03,0.000000000000000000e+00
1.285929648241206147e+00,4.777987127746874396e-01,0.000000000000000000e+00,2.553912026313255590e-03,0.000000000000000000e+00
1.315577889447236304e+00,4.920888811868830981e-01,0.000000000000000000e+00,3.319039687656691329e-03,0.000000000000000000e+00
1.345226130653266461e+00,5.065703962242291691e-01,0.000000000000000000e+00,4.079364387621967764e-03,0.000000000000000000e+00
1.374874371859296618e+00,5.213074552135047446e-01,0.000000000000000000e+00,4.825636316185403715e-03,0.000000000000000000e+00
1.404522613065326775e+00,5.363429487001751816e-01,0.000000000000000000e+00,5.548807572901784391e-03,0.000000000000000000e+00
1.434170854271356932e+00,5.516977996502899773e-01,0.000000000000000000e+00,6.240101558423532743e-03,0.000000000000000000e+00
1.463819095477387089e+00,5.673715949462400099e-01,0.000000000000000000e+00,6.891080494143778795e-03,0.000000000000000000e+00
1.493467336683417246e+00,5.833443383943917038e-01,0.000000000000000000e+00,7.493714011197041835e-03,0.000000000000000000e+00
1.523115577889447403e+00,5.995791136422932155e-01,0.000000000000000000e+00,8.040447628626379295e-03,0.000000000000000000e+00
1.552763819095477560e+00,6.160254556002437987e-01,0.000000000000000000e+00,8.524260337638846219e-03,0.000000000000000000e+00
1.582412060301507717e+00,6.326232879776909623e-01,0.000000000000000000e+00,8.938730803152881640e-03,0.000000000000000000e+00
1.612060301507537874e+00,6.493071055644681344e-01,0.000000000000000000e+00,9.278102910497642436e-03,0.000000000000000000e+00
1.641708542713568031e+00,6.660101216772476018e-01,0.000000000000000000e+00,9.537346686870961515e-03,0.000000000000000000e+00
1.671356783919598188e+00,6.826682656935874061e-01,0.000000000000000000e+00,9.712213254713303323e-03,0.000000000000000000e+00
1.701005025125628345e+00,6.992238478280622394e-01,0.000000000000000000e+00,9.799287010164692280e-03,0.000000000000000000e+00
1.730653266331658502e+00,7.156286700444809412e-01,0.000000000000000000e+00,9.796025942672800801e-03,0.000000000000000000e+00
1.760301507537688659e+00,7.318464498029080278e-01,0.000000000000000000e+00,9.700790857460575567e-03,0.000000000000000000e+00
1.789949748743718816e+00,7.478546050820483737e-01,0.000000000000000000e+00,9.512863263677900569e-03,0.000000000000000000e+00
1.819597989949748973e+00,7.636452719418614921e-01,0.000000000000000000e+00,9.232447508633466471e-03,0.000000000000000000e+00
1.849246231155779130e+00,7.792254835169292182e-01,0.000000000000000000e+00,8.860653753626088203e-03,0.000000000000000000e+00
1.878894472361809287e+00,7.946165980492220227e-01,0.000000000000000000e+00,8.399476295008579535e-03,0.000000000000000000e+00
1.908542713567839444e+00,8.098530717117740085e-01,0.000000000000000000e+00,7.851754765823072343e-03,0.000000000000000000e+00
1.938190954773869601e+00,8.249805672769257026e-01,0.000000000000000000e+00,7.221121112432550733e-03,0.000000000000000000e+00
1.967839195979899758e+00,8.400534623599043016e-01,0.000000000000000000e+00,6.511938058898429638e-03,0.000000000000000000e+00
1.997487437185929915e+00,8.551320323361910614e-01,0.000000000000000000e+00,5.729245766732714643e-03,0.000000000000000000e+00
2.027135678391959850e+00,8.702793960229032733e-01,0.000000000000000000e+00,4.878695698518334053e-03,0.000000000000000000e+00
2.056783919597990007e+00,8.855583339098280771e-01,0.000000000000000000e+00,3.966479144390735664e-03,0.000000000000000000e+00
2.086432160804020164e+00,9.010281618965622075e-01,0.000000000000000000e+00,2.999273292580661304e-03,0.000000000000000000e+00
2.116080402010050321e+00,9.167419448942344395e-01,0.000000000000000000e+00,1.984192829606104373e-03,0.000000000000000000e+00
2.145728643216080478e+00,9.327441006925596412e-01,0.000000000000000000e+00,9.287388327755422349e-04,0.000000000000000000e+00
2.175376884422110635e+00,9.490684692576307757e-01,0.000000000000000000e+00,-1.592541359442516818e-04,0.000000000000000000e+00
2.205025125628140792e+00,9.657370237726801143e-01,0.000000000000000000e+00,-1.271640112620828558e-03,0.000000000000000000e+00
2.234673366834170949e+00,9.827593071407281222e-01,0.000000000000000000e+00,-2.399996480732888553e-03,0.000000000000000000e+00
2.264321608040201106e+00,1.000132519822191091e+00,0.000000000000000000e+00,-3.535664109014235133e-03,0.000000000000000000e+00
2.293969849246231263e+00,1.017842176739099491e+00,0.000000000000000000e+00,-4.669790914767634957e-03,0.000000000000000000e+00
2.323618090452261420e+00,1.035863414179652553e+00,0.000000000000000000e+00,-5.793359107100763683e-03,0.000000000000000000e+00
2.353266331658291577e+00,1.054162797441080102e+00,0.000000000000000000e+00,-6.897243912188147884e-03,0.000000000000000000e+00
2.382914572864321734e+00,1.072700448346362689e+00,0.000000000000000000e+00,-7.972291035568127709e-03,0.000000000000000000e+00
2.412562814070351891e+00,1.091432345138951598e+00,0.000000000000000000e+00,-9.009391099298469027e-03,0.000000000000000000e+00
2.442211055276382048e+00,1.110312816539745784e+00,0.000000000000000000e+00,-9.999568887381977272e-03,0.000000000000000000e+00
2.471859296482412205e+00,1.129296991999694022e+00,0.000000000000000000e+00,-1.093410044704355537e-02,0.000000000000000000e+00
2.501507537688442362e+00,1.148343022068435193e+00,0.000000000000000000e+00,-1.180464990517115023e-02,0.000000000000000000e+00
2.531155778894472519e+00,1.167414028829121264e+00,0.000000000000000000e+00,-1.260339022706359266e-02,0.000000000000000000e+00
2.560804020100502676e+00,1.186479780998904054e+00,0.000000000000000000e+00,-1.332314655693288621e-02,0.000000000000000000e+00
2.590452261306532833e+00,1.205517910107971602e+00,0.000000000000000000e+00,-1.395754471242640661e-02,0.000000000000000000e+00
2.620100502512562990e+00,1.224514555752751477e+00,0.000000000000000000e+00,-1.450115445845366960e-02,0.000000000000000000e+00
2.649748743718593147e+00,1.243464585490344110e+00,0.000000000000000000e+00,-1.494960303565277468e-02,0.000000000000000000e+00
2.679396984924623304e+00,1.262371349408734300e+00,0.000000000000000000e+00,-1.529968939468632355e-02,0.000000000000000000e+00
2.709045226130653461e+00,1.281245906970203796e+00,0.000000000000000000e+00,-1.554947660661270929e-02,0.000000000000000000e+00
2.738693467336683618e+00,1.300105755147549225e+00,0.000000000000000000e+00,-1.569834664913172598e-02,0.000000000000000000e+00
