tau,S_mean,S_var,Mz_mean,Mz_var
0.000000000000000000e+00,9.981706378129161716e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.057459579006080605e-02,1.815357598338534622e-09,0.000000000000000000e+00,-3.383221355737698452e-09,0.000000000000000000e+00
4.114919158012161210e-02,3.668350435338411611e-09,0.000000000000000000e+00,-6.836772142207562845e-09,0.000000000000000000e+00
6.172378737018241468e-02,5.559862753529192468e-09,0.000000000000000000e+00,-1.036211434735157742e-08,0.000000000000000000e+00
8.229838316024322420e-02,7.490695284787195151e-09,0.000000000000000000e+00,-1.396074035049576328e-08,0.000000000000000000e+00
1.028729789503040337e-01,9.461665406372303146e-09,0.000000000000000000e+00,-1.763417355411764472e-08,0.000000000000000000e+00
1.234475747403648294e-01,1.147360748694737745e-08,0.000000000000000000e+00,-2.138396902874652292e-08,0.000000000000000000e+00
1.440221705304256528e-01,1.352737323979057457e-08,0.000000000000000000e+00,-2.521171417126968725e-08,0.000000000000000000e+00
1.645967663204864484e-01,1.562383208335030272e-08,0.000000000000000000e+00,-2.911902937692360345e-08,0.000000000000000000e+00
1.851713621105472440e-01,1.776387150929521368e-08,0.000000000000000000e+00,-3.310756872525409630e-08,0.000000000000000000e+00
2.057459579006080674e-01,1.994839745821500478e-08,0.000000000000000000e+00,-3.717902068033592821e-08,0.000000000000000000e+00
2.263205536906688631e-01,2.217833470313130639e-08,0.000000000000000000e+00,-4.133510880554849676e-08,0.000000000000000000e+00
2.468951494807296587e-01,2.445462724098090641e-08,0.000000000000000000e+00,-4.557759249321020080e-08,0.000000000000000000e+00
2.674697452707904821e-01,7.050036398822528867e-08,0.000000000000000000e+00,-7.291052431476734687e-08,0.000000000000000000e+00
2.880443410608513055e-01,1.896273342747902483e-07,0.000000000000000000e+00,-1.387561836019514324e-07,0.000000000000000000e+00
3.086189368509120734e-01,3.112306816955002853e-07,0.000000000000000000e+00,-2.059706234822224420e-07,0.000000000000000000e+00
3.291935326409728968e-01,4.353618844646996461e-07,0.000000000000000000e+00,-2.745822977721616755e-07,0.000000000000000000e+00
3.497681284310337202e-01,5.620734909110194677e-07,0.000000000000000000e+00,-3.446202517780909062e-07,0.000000000000000000e+00
3.703427242210944881e-01,6.914191417226041655e-07,0.000000000000000000e+00,-4.161141345917899971e-07,0.000000000000000000e+00
3.909173200111553115e-01,8.234535926547705885e-07,0.000000000000000000e+00,-4.890942116418175864e-07,0.000000000000000000e+00
4.114919158012161349e-01,9.582327377096980433e-07,0.000000000000000000e+00,-5.635913775057394955e-07,0.000000000000000000e+00
4.320665115912769028e-01,1.095813632797978156e-06,0.000000000000000000e+00,-6.396371689886979630e-07,0.000000000000000000e+00
4.526411073813377262e-01,1.236254519892036447e-06,0.000000000000000000e+00,-7.172637784738563812e-07,0.000000000000000000e+00
4.732157031713985496e-01,1.798604662439576214e-06,0.000000000000000000e+00,-8.932452701208469077e-07,0.000000000000000000e+00
4.937902989614593174e-01,3.092516060149906047e-06,0.000000000000000000e+00,-1.239097203175541692e-06,0.000000000000000000e+00
5.143648947515201408e-01,4.413324915179882287e-06,0.000000000000000000e+00,-1.592138606563921754e-06,0.000000000000000000e+00
5.349394905415809642e-01,5.761590364122253339e-06,0.000000000000000000e+00,-1.952518932923769057e-06,0.000000000000000000e+00
5.555140863316417876e-01,7.137883166740176365e-06,0.000000000000000000e+00,-2.320390741671243993e-06,0.000000000000000000e+00
5.760886821217026110e-01,8.542785947586328623e-06,0.000000000000000000e+00,-2.695909763583697013e-06,0.000000000000000000e+00
5.966632779117633234e-01,9.976893442644678328e-06,0.000000000000000000e+00,-3.079234966724997192e-06,0.000000000000000000e+00
6.172378737018241468e-01,1.144081275109949841e-05,0.000000000000000000e+00,-3.470528623741331517e-06,0.000000000000000000e+00
6.378124694918849702e-01,1.330781690690433812e-05,0.000000000000000000e+00,-3.919025217091096251e-06,0.000000000000000000e+00
6.583870652819457936e-01,1.990637656036105054e-05,0.000000000000000000e+00,-4.994758558736903242e-06,0.000000000000000000e+00
6.789616610720066170e-01,2.664210517064427461e-05,0.000000000000000000e+00,-6.092853935136727226e-06,0.000000000000000000e+00
6.995362568620674404e-01,3.351785416650599684e-05,0.000000000000000000e+00,-7.213776201825856101e-06,0.000000000000000000e+00
