t,S_mean,S_var,Mz_mean,Mz_var
1.000000000000000056e-01,2.740076260662914951e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.497487437185929804e-01,4.929530178870907392e-07,1.300335519937238224e-19,-3.392633978749337587e-07,2.710591743206434155e-12
1.994974874371859275e-01,2.389856494100177958e-05,4.673441575548418646e-15,-5.373472183267669067e-06,6.710142219426456865e-10
2.492462311557789023e-01,2.178873263614915115e-04,1.885994309962289236e-12,-2.674961790848239102e-05,1.625855716257174290e-08
2.989949748743718771e-01,9.961112455688170622e-04,1.189429771253754920e-10,-8.257857738940770998e-05,1.500695229972229594e-07
3.487437185929648242e-01,3.103365753867076693e-03,2.676714007216684301e-09,-1.956191967033869079e-04,8.075858550652114184e-07
3.984924623115577713e-01,7.555006900903007971e-03,3.106036166994042795e-08,-3.909877876278364619e-04,3.061684192178001952e-06
4.482412060301508294e-01,1.546628891868360479e-02,2.263923247100084710e-07,-6.936014653226757519e-04,9.042913539840284154e-06
4.979899497487437765e-01,2.782976678696414199e-02,1.167351679412304282e-06,-1.125575674959559567e-03,2.208891907524707297e-05
5.477386934673367236e-01,4.531054765722347666e-02,4.602452411516988081e-06,-1.703780322459707598e-03,4.636028344595202923e-05
5.974874371859296707e-01,6.811346291951507481e-02,1.464475094765578646e-05,-2.437732754675347568e-03,8.578371926936588466e-05
6.472361809045226178e-01,9.594621711218304094e-02,3.911497378732186128e-05,-3.327961798905348934e-03,1.424901733610403393e-04
6.969849246231155648e-01,1.280730591916058592e-01,9.032981520009404229e-05,-4.364945201801279963e-03,2.152456871526979728e-04
7.467336683417085119e-01,1.634340918417241106e-01,1.845487681089676070e-04,-5.528680716487060880e-03,2.985507187680910184e-04
7.964824120603015700e-01,2.007984729292063564e-01,3.396961603090078302e-04,-6.788956484046169103e-03,3.829734967064243032e-04
8.462311557788945171e-01,2.389217451818143323e-01,5.716995272575297942e-04,-8.106301403225475363e-03,4.568769617949055943e-04
8.959798994974874642e-01,2.766860056751903052e-01,8.904497269222526150e-04,-9.433676265776522532e-03,5.091547868284826287e-04
9.457286432160804113e-01,3.132092521900095572e-01,1.296651509880881667e-03,-1.071879422469985098e-02,5.321179980086425529e-04
9.954773869346733584e-01,3.479179511796556823e-01,1.780583932543857535e-03,-1.190705219773148006e-02,5.235506134482167170e-04
1.045226130653266416e+00,3.805808745723331943e-01,2.323174331502062245e-03,-1.294485472595311749e-02,4.872018605891546123e-04
1.094974874371859475e+00,4.113046537275309444e-01,2.899171803098759669e-03,-1.378314890948429544e-02,4.315735721742489355e-04
1.144723618090452311e+00,4.404930006934311137e-01,3.481657561560810854e-03,-1.438082610816397017e-02,3.674915730869520347e-04
1.194472361809045369e+00,4.687739056065855503e-01,4.046969762519658613e-03,-1.470770050032565480e-02,3.053878753904429766e-04
1.244221105527638427e+00,4.969024557338934112e-01,4.578950536433311867e-03,-1.474665621329221410e-02,2.532479712182514483e-04
1.293969849246231263e+00,5.256513781933039864e-01,5.071686551247751168e-03,-1.449478845589030097e-02,2.158255664185674595e-04
1.343718592964824321e+00,5.557051037607469990e-01,5.530152865424568798e-03,-1.396324554738983224e-02,1.951509159041972660e-04
1.393467336683417157e+00,5.875733904370510352e-01,5.968597355548285223e-03,-1.317583585851444389e-02,1.918360568814976921e-04
1.443216080402010215e+00,6.215368328977342038e-01,6.407006181775376681e-03,-1.216647310039924851e-02,2.064171084916807805e-04
1.492964824120603273e+00,6.576302587213272988e-01,6.866358406084813702e-03,-1.097581471609256065e-02,2.400645442067279780e-04
1.542713567839196109e+00,6.956633110882407545e-01,7.363758186272252593e-03,-9.647408304899400544e-03,2.943588858054888989e-04
1.592462311557789167e+00,7.352692527930505539e-01,7.908085027014963644e-03,-8.223956655225931819e-03,3.702855980657071295e-04
1.642211055276382003e+00,7.759714637018024774e-01,8.497193463000979677e-03,-6.744047901781649763e-03,4.669417503570495666e-04
1.691959798994975062e+00,8.172547192859954679e-01,9.116990760147448622e-03,-5.239822188720062029e-03,5.805553130092936829e-04
1.741708542713568120e+00,8.586297357754199000e-01,9.742773978194297843e-03,-3.735805112926758251e-03,7.042615201661052557e-04
1.791457286432160956e+00,8.996817976964749386e-01,1.034280269514892617e-02,-2.249002018803165134e-03,8.287698915787911893e-04
1.841206030150754014e+00,9.400975198752087314e-01,1.088362997605255011e-02,-7.902098578260671746e-04,9.437324255225131367e-04
1.890954773869346850e+00,9.796674764982503669e-01,1.133648158322487359e-02,6.338387476967467056e-04,1.039398667274661495e-03
1.940703517587939908e+00,1.018265124008760347e+00,1.168318226999462937e-02,2.017774337493955916e-03,1.108102630778259835e-03
1.990452261306532966e+00,1.055807907408009561e+00,1.192039385277545577e-02,3.354830682555169554e-03,1.145227578657376970e-03
2.040201005025125802e+00,1.092207380155302276e+00,1.206097248447456950e-02,4.634497969272563696e-03,1.149498613483937578e-03
2.089949748743718860e+00,1.127319429848884891e+00,1.213217023299547996e-02,5.840988947901468338e-03,1.122659981914831155e-03
2.139698492462311918e+00,1.160903510326555477e+00,1.217091875808180845e-02,6.952671962141248295e-03,1.068729811114030792e-03
