tau,S_mean,S_var,Mz_mean,Mz_var
0.000000000000000000e+00,2.740076260662914951e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.314155872355825108e-02,2.319801819546781077e-08,2.879691988310559487e-22,-1.596549225894116723e-08,6.002811741132555666e-15
4.628311744711650216e-02,4.693913171873400465e-08,1.179001680273077695e-21,-3.230475907696786199e-08,2.457667402585912900e-14
6.942467617067475671e-02,7.123605799712451047e-08,2.715464287200993671e-21,-4.902655104057962004e-08,5.660473749277121522e-14
9.256623489423300433e-02,9.610180938654489288e-08,4.942053876350276137e-21,-6.613982359977517761e-08,1.030187226782981009e-13
1.157077936177912519e-01,1.215497028803974998e-07,7.905915256421373841e-21,-8.365374186419448593e-08,1.648013784748286129e-13
1.388493523413495134e-01,1.475933672415713065e-07,1.165676489007597994e-20,-1.015776855115440619e-07,2.429890607392038154e-13
1.619909110649077610e-01,1.742467503014039736e-07,1.624702063702717276e-20,-1.199212538109371645e-07,3.386744368296310482e-13
1.851324697884660087e-01,2.015241264295209634e-07,2.173193782863060227e-20,-1.386942707638361381e-07,4.530093221247884185e-13
2.082740285120242563e-01,2.294401041785551559e-07,2.816975197823160694e-20,-1.579067903653520893e-07,5.872076548677456930e-13
2.314155872355825039e-01,2.580096341078389025e-07,3.562182844609602842e-20,-1.775691019887179905e-07,7.425486159798880589e-13
2.545571459591407515e-01,2.872480167902609718e-07,4.415281939286017462e-20,-1.976917358958213163e-07,9.203799008070058722e-13
2.776987046826990269e-01,3.171709110065741897e-07,5.383082837148412027e-20,-2.182854688767445361e-07,1.122121150091713980e-12
3.008402634062572467e-01,3.477943421315443694e-07,6.472758292424283522e-20,-2.393613300213364963e-07,1.349267547814186505e-12
3.239818221298155221e-01,3.791347107164298570e-07,7.691861556885712576e-20,-2.609306066259030543e-07,1.603393593907509397e-12
3.471233808533737419e-01,4.112088012723893110e-07,9.048345357621049883e-20,-2.830048502381829620e-07,1.886157060235607243e-12
3.702649395769320173e-01,4.440337912595211281e-07,1.055058179612192179e-19,-3.055958828438437898e-07,2.199303138621476695e-12
3.934064983004902927e-01,4.776272602863491058e-07,1.220738321282921035e-19,-3.287158031978132325e-07,2.544668790132228869e-12
4.165480570240485125e-01,1.397653399502520950e-06,8.934620752557062286e-18,-5.338513720854569223e-07,6.677149645503970325e-12
4.396896157476067879e-01,3.068243211925063586e-06,6.150897541658331827e-17,-8.931710915660487561e-07,1.862281408438920053e-11
4.628311744711650078e-01,4.777943874199518761e-06,1.640981509874649773e-16,-1.260902989483823113e-06,3.705580642202743373e-11
4.859727331947232831e-01,6.527671026158428959e-06,3.201840055607038198e-16,-1.637244006730748600e-06,6.242206667786190366e-11
5.091142919182815030e-01,8.318361744046679968e-06,5.334393837626620645e-16,-2.022395694861217521e-06,9.519190496079477077e-11
5.322558506418397783e-01,1.015097504237791707e-05,8.077377737691234606e-16,-2.416564324034104137e-06,1.358612318841545413e-10
5.553974093653980537e-01,1.202649238754018805e-05,1.147163436062354702e-15,-2.819960993481912152e-06,1.849528490453691264e-10
5.785389680889563291e-01,1.394591822342579615e-05,1.556022026607046353e-15,-3.232801744566160809e-06,2.430178024573098671e-10
6.016805268125144934e-01,1.591028050936693666e-05,2.038851738208963565e-15,-3.655307676479565775e-06,3.106368019560034281e-10
6.248220855360727688e-01,1.792063127066502180e-05,2.600434984952396804e-15,-4.087705064656931227e-06,3.884217097536850068e-10
6.479636442596310442e-01,1.997804716200885040e-05,3.245810655801002718e-15,-4.530225481958261767e-06,4.770171014573191299e-10
6.711052029831893195e-01,2.208363004408309301e-05,3.980286964691872104e-15,-4.983105922688911247e-06,5.771019030310162965e-10
6.942467617067474839e-01,2.671605377586329898e-05,7.624026907279440330e-15,-5.683938890061148318e-06,7.496453784673931302e-10
7.173883204303057592e-01,4.499408496140794804e-05,4.421391447032790010e-14,-7.698044528610543450e-06,1.365531614335520640e-09
7.405298791538640346e-01,6.370003048473324425e-05,1.129665650048041160e-13,-9.759303204146861188e-06,2.185625681811503846e-09
7.636714378774223100e-01,8.284390842046795121e-05,2.161179539646229527e-13,-1.186881883537952879e-05,3.223698851284049411e-09
7.868129966009805853e-01,1.024359713804140032e-04,3.560266551694767324e-13,-1.402772118530274021e-05,4.494270684940940217e-09
